titre,prix,gouvernerat et date dajout,Kilométrage,Couleur du véhicule,Boite,Année,Cylindrée,Marque,Modèle,Puissance fiscale,Type de carrosserie,Carburant,Number of Pictures,Description
MERCEDES BENZ CLA 200,169000,"Sousse , a month ago",42000,Rouge,Automatique,07.2019,1.6L,Mercedes-Benz,Classe CLA,09,Berline,Essence,8,"
"
PEUGEOT 3008,1,"Tunis , a month ago",150,Blanc,Manuelle,2014,1.6L,Peugeot,3008,7,Berline,Essence,10,"

          ✅ PEUGEOT 3008✅
🔄 𝙋𝙤𝙨𝙨𝙞𝙗𝙞𝙡𝙞𝙩é 𝙙'é𝙘𝙝𝙖𝙣𝙜𝙚 🔄
☑Energie: essence ⛽
☑Puissance fiscale 07 cv
☑ Motorisation 4 cylindre
☑ Kilométrage: 150 000 km
☑ Année : 2014
☑ Immatricule : 174
☑ Boite de vitesse manuelle
✔ Climatiseur
✔ Jantes alliages 16 pouce
✔ Radars de recul
✔ Rétroviseurs extérieur électriques rabattables avec clignotants intégrés
✔ Fermeture centralisée à distance
✔ Antibrouillards
✔ Feux de jour
✔ 04 Vitres électriques
✔ Autoradio-USB AUX Bluetooth
✔ Volant 3 branches Multi-fonctions
(pleins d'autres options)
☎
          







             Afficher le numéro
            



         📍 Disponible à notre showroom Automax Route Express Gammarth📍
        "
406,16500,"Médenine , 8 days ago",130,Bleu,Manuelle,1997,<1.0L,Peugeot,406,7,Compacte,Diesel,9,"

          406 gasoil mouter normal turbo nthifa barsha kilométrage 130.000 numéro
          







             Afficher le numéro
            



"
Debimetre Porsche Cayenne,250,"Nabeul , a month ago",1,"
         je mets en vent DEBIMETRE pour Porsche Cayenne 2008
        ",,,,,,,,,,
Voiture,16,"Tunis , 13 days ago",4000,Noir,Manuelle,2005,1.2L,Chevrolet,Aveo,5,Autres,Essence,4,"

          Vente voiture li Mohtam ykalamni 3a num hatha
          







             Afficher le numéro
            



"
ciao,0,"Nabeul , 4 days ago",000,Gris,Automatique,2010,1,"
         ciao ndhifa tres puissante w faible consommation
kolchay d’origine
        ",,,,,,
Mahindra KUV 100 K6+,36000,"Tunis , a month ago",21000,Rouge,Manuelle,2021,1.2L,Mahindra,Hover,Essence,5,Autres,4,"

          Vends Mahindra KUV 100 K6+ - sous Leasing- 5 CV- Année 2021
21 000 Km- 1ère main- Très bon état
Prix total: 36 000 DT
Contact:
          







             Afficher le numéro
            



"
Xsara 1.4 essence,14,"Bizerte , 6 days ago",280000,Bleu,Manuelle,98,1.4L,Citroen,Xsara,6,Compacte,Essence,8,"
         Assisté. fermeture central ..vtre elec. Avant..salon neuf. 3jali jdod amine
        "
1992 MITSUBISHI PAJERO 7 PLACES,29500,"Tunis , 4 days ago",0,Gris,Manuelle,1992,2.5L,Mitsubishi,Pajero Sport,10,4 x 4,Diesel,10,"

          1992 MITSUBISHI PAJERO 7 PLACES
VOITURE 1ERE MAIN
☎️ TÉLÉPHONE :
          







             Afficher le numéro
            




          /
          







             Afficher le numéro
            



         06/04/1992 TU 70
2.5 L TURBO DIESEL ⛽️
10 CV
Échange possible
Disponible à notre showroom CARHABTI 118 RUE IBN JAZZAR DERRIÈRE CARREFOUR LA MARSA
        "
Voiture Mercedes,48000,"Ariana , a month ago",236000,Gris,Automatique,2010,1.6L,Mercedes-Benz,Classe C,9,Compacte,Essence,2,"
         Mercedes C 180 à vendre.
Importée d’Allemagne
Toutes options
        "
TOYOTA AGYA PREMIERE MAIN 2021,0,"Ariana , 2 days ago",16000,Blanc,Manuelle,2021,1.2L,Toyota,Aygo,4,Compacte,Essence,10,"

          A vendre Toyota Agya Premiere main essence 4Cv Tt Options Peinture Origines Faible kilométrage 16000 réel certifié Serieux Contacter Numero
          







             Afficher le numéro
            



"
308 1.6 HDI SW 7 PLACES,32000,"Ben Arous , a month ago",330000,Gris,Manuelle,2011,1.6L,Peugeot,308 SW,6,Berline,Diesel,4,"

          Bonjour
je mets en vente ma 308 HDI 2011 7 places.
motorisation 1.6 eHDi (112)6cv.
moteur changer 280000kms
OPTIONS :
- climatisation automatique - éclairage auto
- 4 vitres électriques
- toit panoramique rideau électrique.
- écran GPS intégré
- radar de recul arrière.
- boîte 6 vitesses
- rétro électrique
- détecteur de pluie
- sécurité enfant arrière
- 7 sièges
- boîte a gant réfrigérée.
- portes bagages avec clé de sécurité ( origine Peugeot).
PRIX: 32000DT.
j'habite en France.
appellez-moi sur wattsap :
          







             Afficher le numéro
            



"
Polo 6,22000,"Ariana , a month ago",280000,Bleu,Manuelle,2006,1.2L,Volkswagen,Polo,4,Compacte,Essence,5,"
         Polo 6
4 CV essence.
Moteur remplacé récemment .
Climatiseur .
Jamais accidenté .
Peinture d'origine .
Km 280000.
        "
⚜️ Mercedes-benz ML 350 V6⚜️,31000,"Ariana , 4 days ago",200,Bleu,Automatique,2000,3.5L,Mercedes-Benz,Classe ML,16,4 x 4,Essence,10,"

          ⚜️ Mercedes-benz ML 350 V6⚜️
➖ kilomètrage: 200.000 km
➖ essence
✔️ climatisation
✔️ sièges électriques
✔️ jantes 20’
🔄 POSSIBILITÉ D’ÉCHANGE
TEL :
          







             Afficher le numéro
            




          /
          







             Afficher le numéro
            



         🏢 Disponible à Notre Showroom AUTOROOM la soukra SIDI FREJ
        "
bipper 1.3,22000,"Ben Arous , 20 days ago",330000,Blanc,Manuelle,2016,1.3L,Peugeot,Bipper,5,Utilitaire,Diesel,6,"
         bipper 1.3 propre
moteur changé il y a 3 mois
vitres électriques
climatisée
        "
Golf 7.5 Carat,0,"Monastir , 6 days ago",180000,Noir,Automatique,2020,1.5L,Volkswagen,Golf,8,Berline,Essence,10,"

          🔥🚘Golf 7.5 Carat 🚘 🔥
✅Année 2020
✅Kilométrage 180000
✅Puissance 8Cv,essence ⛽️
✅Dernière Série
✅système de freinage automatique
✅Écran Tactile GPS/Bluetooth
✅Double clés
✅lumière d’ambiance
✅Jantes Alum par 18
✅Compteur digital
✅Led avant Led Arrière Dynamique
✅Volant Multifonction
✅Radar de Recule avant, arrière
✅Parc assist
✅Caméra de recule
✅Rétroviseurs électriques rabattables
☎
          







             Afficher le numéro
            




          🏠 ShowRoom Ilef Auto: Avenue Habib Bourguiba, Ksibet El Médyouni, Monastir
⭐ Votre Satisfaction est notre objectif ⭐
💐 Soyer le bienvenue🔥🚘Golf 7.5 Carat 🚘 🔥
✅Année 2020
✅Kilométrage 180000
✅Puissance 8Cv,essence ⛽️
✅Dernière Série
✅système de freinage automatique
✅Écran Tactile GPS/Bluetooth
✅Double clés
✅lumière d’ambiance
✅Jantes Alum par 18
✅Compteur digital
✅Led avant Led Arrière Dynamique
✅Volant Multifonction
✅Radar de Recule avant, arrière
✅Parc assist
✅Caméra de recule
✅Rétroviseurs électriques rabattables
☎
          







             Afficher le numéro
            



         🏠 ShowRoom Ilef Auto: Avenue Habib Bourguiba, Ksibet El Médyouni, Monastir
⭐ Votre Satisfaction est notre objectif ⭐
💐 Soyer le bienvenue
        "
a vendre,0,"Ben Arous , a month ago",100,Gris,Manuelle,2021,Utilitaire,1.5L,Fiat,5,Doblo,Diesel,8,"
         A ne pas rater
        "
trottinette électrique ninebot double batterie,1350,"Ariana , 18 days ago",2023,7,"

          ninebot neuf
double batterie
vitesse max 25km
dispo a jardin del menzeh
          







             Afficher le numéro
            



",,,,,,,,,
Ford fiesta très bien entretenue,11900,"La Manouba , 6 days ago",45000,Gris,Manuelle,2000,1.2L,Ford,Fiesta,5,Utilitaire,Essence,10,"

          Année 2000 montage allemand moteur noir zetec puma récemment change
Tôle voile récemment fait
Vidange complet ( filtre aire essence huile bougies ...)
Pneu neuf batterie neuf avant train tout neuf ....tel
          







             Afficher le numéro
            



         prix 11900 dt
        "
407,21,"Sousse , a month ago",258000,Gris,Manuelle,2007,1.6L,Peugeot,407,Diesel,10,"
",,
symbol,23,"Nabeul , 7 days ago",280,Blanc,Manuelle,2010,>4.0L,Renault,Symbol,5,Compacte,Essence,9,"
         voiture
        "
Ford focus ecobost,44.5,"Sfax , 20 days ago",178000,Bleu,Manuelle,2015,3.0L,Ford,Focus C-MAX,6,Berline,Essence,6,"
         💪 A vendre 🅕🅞🅡🅓 🅕🅞🅒🅤🅢 💪💵
-1eя мαiиs
-1eя мise eи ciяcυℓατiσи 2⃣0⃣1⃣5⃣
-kiℓσмéτяαge : 1⃣7⃣8⃣0⃣0⃣0⃣
-Ρυissαиce fiscαℓe 6⃣ Cv
-Вσiτe viτesse мαиυєℓℓe 6⃣ Яαρρσяτ
-Ρυissαиce мστeυя 1⃣0⃣0⃣ cн D
-Cσиsσммατiσи :
* Υявαiиe 5.7L/100klm
* Exτяαυявαiиe 3.9L/100klm
-Τσυτes σρτiσиs * Diя αssisτé * Jαиτes αℓυмiиiυм*cℓe υsв * Вℓυeτσστн*feυx αvαиτ/αяяièяe 🄻🄴🄳 * ℓυмieяe d'αмвiαиce нαвiταcℓe * αccσυdσiяs ceиτяαℓe, eτc
-Eиτяeτieи ρéяiσeiqυes cнez ℓα мαisσи ‌🇫‌🇴‌🇷‌🇩 (Cαяиeτ D'eиτяeτieи fαiτ fσi)
Chaîne de distribution récemment changée ، avec garantie maison Ford.
        "
Citroën C5 Aircross fin serie,0,"Sousse , 4 days ago",112000,Gris,Manuelle,2020,1.5L,Citroen,C5,5,Compacte,Diesel,9,"

          À vendre Citroën Aircross importée de France fin serie , modèle 2020 , Diesel 5 Chv
Pour plus d’info :
          







             Afficher le numéro
            



         Toutes options :
Stop/Start mode éco
Aides à la conduite
Assistance voie
Assistance angle mort
Assistance frein de secours
Attention de conducteur
Contrôle dynamique
Indicateur de limitation de vitesse
Capteur de stationnement avant
Capteur de stationnement arrière
Aide démarrage en côte
Détecteur de luminosité
Détecteur de pluie
Régulateur de vitesse
Écran tactile GPS
Bleutooth USB SD
climatisation automatique
Volant multifonction
Ordinateur de bord
Éclairage d'ambiance
ABS ESP
10 Airbag
Contrôle pression des pneus
4 vitres électriques
Accoudoirs central Av
Extérieur chromé
Feux full LED avant et arrière
        "
NISSAN X-TRAIL 7 PLACES,67000,"Monastir , 12 days ago",170000,Noir,Automatique,2015,1.6L,Nissan,X-Trail,7,Monospace,Diesel,10,"

          NISSAN X-TRAIL 7 PLACES
○ Année : 2015
○ Kilométrage 170 000 KM
○ Puissance : 1.6L 7 CV DIESEL
○ Boite Automatique 7 Rapport
✅ Antibrouillards
✅Toit Panoramique Ouvrant
✅porte Goublet réfrigérée/chauffant
✅Boîte à gants réfrigérée
✅LANE-ASSISTE
✅Keyless & Go
✅Feux FULL LED
✅Feux de jour LED
✅Détecteur de luminosité
✅Détecteur de pluie
✅Fermeture centralisée
✅Jantes en alliage
✅Lave Phares
✅Peinture métallisée
✅Phares Automatique
✅Radar de recul
✅Coffre électrique avec Bouton
✅Rétroviseurs électriques Rabattable
✅Vitres surteintées
✅Bluetooth
✅Climatronic
✅Connectivité Aux, usb, iPod
✅Direction assistée
✅Ordinateur de bord
✅Régulateur de vitesse
✅Sièges éléctrique
✅Vitres électriques & Redeaux latereaux
✅Volant/levier de vitesse en cuir
✅Volant multi-fonctions
✅3 appuis têtes arrières
✅Volant réglable hauteur/profondeur
TEL
          







             Afficher le numéro
            




          /
          







             Afficher le numéro
            



"
moto,1111,"Nabeul , 16 days ago",000,Rouge,Automatique,2013,3,"
         للبيع سكوتار sym(orbit2) en panne
        ",,,,,,
volkswagen,40000,"Kébili , 5 hours ago",124407,Gris,Manuelle,2007,1.9L,Volkswagen,Passat,6,Autres,Diesel,7,"
         voiture volkswagen model passat à vendre pour plus des renseignements appelez moi
        "
megane 4 dci 110cv fin série 240 ttoption,57000,"Nabeul , 13 days ago",100000,Noir,Manuelle,2020,1.5L,Renault,Megane,5,Berline,Diesel,10,"
         megane 4dci 110cv fin 2019 ttoption
        "
Peugeot 208 en très bon état,32000,"Sousse , 7 days ago",122000,Marron,Manuelle,2016,<1.0L,Peugeot,208,5,Compacte,Essence,10,"
         En trés bon état
Première main
        "
Bmw x5,1,"Ariana , 7 hours ago",198,Blanc,Automatique,2012,3.0L,BMW,X5,19,4 x 4,Essence,7,"

          bwm 5 pack m
moteur 3l atmosphérique
tt neuf
          







             Afficher le numéro
            



"
RENAULT CLIO,1,"Tunis , a month ago",130,Gris,Automatique,2016,1.2L,Renault,Clio,6,Compacte,Essence,10,"

          ✅ RENAULT CLIO ✅
🔄 𝙋𝙤𝙨𝙨𝙞𝙗𝙞𝙡𝙞𝙩é 𝙙'é𝙘𝙝𝙖𝙣𝙜𝙚 🔄
☑Energie: essence ⛽
☑Puissance fiscale: 06 cv
☑ Motorisation 4 cylindre
☑ Kilométrage: 129 000 km
☑ Année : fin 2015
☑ Immatricule : 201
☑ boite auto
✔climatronic bizone
✔jantes alliages
✔Radars de recul
✔ Détecteur de lumière
✔Détecteur de pluie
✔Rétroviseurs électriques
✔Fermeture centralisée à distance (keyless-go)
✔Antibrouillards
✔ Feux de jour led
✔Vitres électriques
✔Autoradio-AUX-USB
✔Bluetooth
✔Volant réglable hauteur profondeur
(pleins d'autres options)
☎
          







             Afficher le numéro
            



         📍 Disponible à notre showroom Automax Route Express Gammarth.
        "
Ssangyong tivoli,0,"Gabès , 3 days ago",109000,Gris,Automatique,2021,1.5L,Ssangyong,Korando,8,Berline,Essence,5,"
         Une très belle tivoli a vendre
        "
kia sportage 1.7,0,"Sfax , 8 hours ago",197000,Gris,Manuelle,2013,1.7L,Kia,Sportage,6,Autres,Diesel,10,"

          A vendre 🔴 kia sportage 1.7 🔴 chez auto rêve ramzi
🔄 𝙋𝙤𝙨𝙨𝙞𝙗𝙞𝙡𝙞𝙩é 𝙙'é𝙘𝙝𝙖𝙣𝙜𝙚 🔄
☎️
          







             Afficher le numéro
            




          /
          







             Afficher le numéro
            



         ☎️
➡️ 𝙇𝙚𝙨 𝘾𝙖𝙧𝙖𝙘𝙩𝙚́𝙧𝙞𝙨𝙩𝙞𝙦𝙪𝙚 :
☑️ Immatriculation : 𝐓𝐮 199
☑️Puissance fiscale: 06 cv
☑️Energie: gasoil ⛽
☑️ Kilométrage: 197.000 km
☑️ Année :10/2012
➡️ 𝑳𝒆𝒔 𝑶𝒑𝒕𝒊𝒐𝒏𝒔 :
☑️ vitre électrique
☑️ 𝘛𝘰𝘪𝘵 𝘗𝘢𝘯𝘰𝘳𝘢𝘮𝘪𝘲𝘶𝘦 𝘖𝘶𝘷𝘳𝘢𝘯𝘵
☑️ 𝘊𝘢𝘮𝘦𝘳𝘢 𝘥𝘦 𝘳𝘦𝘤𝘶𝘭
☑️ jent allu
☑️ Multi-fonctions
☑️ Climatronic
☑️ Feu LED AV/AR
☑️ 𝘙é𝘵𝘳𝘰𝘷𝘪𝘴𝘦𝘶𝘳𝘴 é𝘭𝘦𝘤𝘵𝘳𝘪𝘲𝘶𝘦s rabattable
☑️ Écran tactile
☑️ Bluetooth / AUX / USB
💯 𝗙𝗨𝗟𝗟 𝗢𝗣𝗧𝗜𝗢𝗡𝗦 💯
➡️ Adresse: Route kaied mohamed km 3 sfax avant ceinture.
        "
🚘 HYUNDAI TUCSON N-LINE DIESEL-HYBRID🚘,168000,"Ben Arous , 10 hours ago",34000,Beige,Automatique,2022,1.6L,Hyundai,Tucson,7,Monospace,Diesel,10,"

          🚘 HYUNDAI TUCSON N-LINE DIESEL-HYBRID🚘
📆 2022 , FIN SERIE , Récemment Importée
⛽ 07 CV Diesel-HYBRID , FINITION N-LINE
🚦34000 KM certifié ✅✅✅✅
📛 Voiture en excellente état .
🏢 Disponible à notre Showroom sur la GP1 Niveau Ezzahra à Côté KFC.
🔁 Possibilité d'echange
☎ TEL :
          







             Afficher le numéro
            




          https://www.automobile.tn/fr/occasion/vendeurs-pro/joseph-autos-shop
https://www.tayara.tn/shop/aafd
          







             Afficher le numéro
            




          e3a-812d-f9d79641f910
JOSEPH AUTOS SHOP
          







             Afficher le numéro
            



         https://goo.gl/maps/vz6dsUyxzP14bfcU7
        "
Piaggio ciao,1234,"Ariana , a month ago",123,Vert,Automatique,1989,6,"
         Nthifa
        ",,,,,,
Flipper Yamaha 50,2880,"Ben Arous , 7 days ago",0,Gris,Automatique,2006,5,"
         Flipper Yamaha 50
2006 kol CHy original
Yamaha
        ",,,,,,
Aeration punto 1,1,"Monastir , a month ago",1,"
         Je met en vente 3 piéces d'aération pour punto 1
        ",,,,,,,,,,
vente batterie avec installations,1,"Ben Arous , a month ago",1,"
         varta bosch ou Ad
        ",,,,,,,,,,
mazda bt50,1111,"Sfax , 13 days ago",470,Noir,Manuelle,2007,2.5L,Mazda,BT-50,10,4 x 4,Diesel,7,"

          mazda bt50 tout neuf à avendre ou échange b mazda 4 porte
          







             Afficher le numéro
            



"
Mercedes c180,55000,"Jendouba , a month ago",200000,Noir,Manuelle,2009,1.4L,Mercedes-Benz,Classe C,7,Berline,Diesel,3,"
         Mercedes c180 kenet RS importé
Très propre 4 pneu neuf double clé
        "
Kia rio à vendre,11111,"Tunis , 15 days ago",108,Blanc,Manuelle,2012,1.2L,Kia,Rio,5,Berline,Essence,1,"

          A vendre kia rio coupé en très bon état:
*Kilométrage:108
*Boutton start/stop
*Clé main libre
*Capteur de pluie
*Jante alu
*volant multifonction
*Bluetooth/aux/usb/mp3
*Accoudoir central
*Micro téléphone
*Chaises réglables en hauteur
*Rétroviseurs rabattables
Prix seulement par téléphone
          







             Afficher le numéro
            



         Pas de gachara svp
        "
avendre ou échange,20500,"Ben Arous , a month ago",236,Blanc,Manuelle,2010,1.5L,Renault,Scenic,5,Berline,Diesel,10,"

          🔥🔥 RENAULT SCENIC 3 🔥🔥
👋 VOITURE OCCASION EN BON ÉTAT GÉNÉRAL
⛽ GAZOIL 6 CHV TRÈS ÉCONOMIQUE
🚃 TOUS LES VITRES D'ORIGINE
📻POSTE D'ORIGINE COMMANDE AU VOLANT
💺 INTÉRIEUR D'ORIGINE
⚙️⚙️ MOTEUR RÉCEMMENT CHANGE BOITE 6 VITESSE
... PLEIN D'AUTRES OPTIONS
👉👈 POSSIBLE D'ÉCHANGE
DISPONIBLE À HAMMAM LIF
TÉLÉPHONE
          







             Afficher le numéro
            



         PRIX 20500
        "
FORD ECHOSPORT,0,"Sfax , a month ago",100,Beige,Manuelle,2019,1.1L,Ford,Kuga,7,4 x 4,Essence,4,"
         VOITURE A VENDRE OU CHANGE
        "
Pièces pour Clio classique,111,"Tunis , a month ago",99999,Autre,Manuelle,Essence,Autres,2023,Clio,1.4L,5,Renault,5,"

          Des pièces très bon occasion a vendre pour Clio classique
Num :
          







             Afficher le numéro
            



"
A VENDRE PEUGEOT 208 TBE,29000,"Ariana , 5 days ago",180000,Gris,Manuelle,2013,1.5L,Peugeot,208,5,Berline,Essence,9,"
         Voiture de Femme Medecin n'a pas beaucoup roulé, une moyenne 9000 Km / an.
En bon état, intérieur, carrosserie et moteur.
        "
Citroën C3 ehdi fin série 240 ttoption,45000,"Nabeul , 20 days ago",80000,Blanc,Manuelle,2020,1.5L,Citroen,C3,5,Berline,Diesel,9,"
         Citroën C3 ehdi ttoption fin série 240 ttoption
        "
53635293,100,"Sousse , 13 days ago",158,Blanc,Manuelle,2018,1.5L,Peugeot,Partner,5,Autres,Diesel,4,"
         Citroën année 2019
        "
golf 8 R line,0,"Sousse , a month ago",25000,Blanc,Manuelle,2021,1.5L,Volkswagen,Golf,8,Compacte,Essence,10,"
         golf 8 r line tts options dernier serie 233 boite Manuel
        "
KIA SPORTAGE GT LINE,105,"Nabeul , a month ago",99000,Blanc,Automatique,2018,1.7L,Kia,Sportage,07,Autres,Diesel,10,"
         KIA SPORTAGE GT LINE
état comme neuf
pour plus d'informations veuillez nous contactez par téléphone
        "
Bf goodrich,2300,"Nabeul , 6 days ago",212121,Rouge,Automatique,2.5L,2019,Isuzu,D-MAX,6,4 x 4,Diesel,3,"

          a vendre pneus occasion BF good rich 245 70 16
Whatsapp contact
          







             Afficher le numéro
            



         75
#isuzu dmax
#pneus #bf #occasion #allemagne # goodrich
#a3jeli
        "
Maître Cylindre De frein Vw,0,"Ben Arous , 19 days ago",3,"

          Maître cylindre de frein avec capteur d'origine passat b7 et golf 5/caddy/jetta En Très Bon état
          







             Afficher le numéro
            



",,,,,,,,,,
kia rio gt ligne,39000,"Ben Arous , 12 days ago",134,Bleu,Manuelle,2016,1.2L,Kia,Carens,5,Berline,Essence,5,"
         karhba tassjil awle mta3e tbibe
        "
Hyundai i10,37000,"Kairouan , a day ago",70000,Gris,Manuelle,2019,1.2L,Hyundai,I 10,5,Berline,Essence,10,"
         Voiture 1er main
        "
polo 7,26500,"Ben Arous , 5 days ago",194,Rouge,Manuelle,2010,3.0L,Volkswagen,Polo,4,Berline,Essence,4,"
         POLO 7 à vendre
        "
